BBA,algae,coszen,dust,rds,rho,soot
0.8358747074435526,0,0.1,0,300,300,0
0.8358747074435526,0,0.1,0,300,300,100
0.8358747074435526,0,0.1,0,300,300,1000
0.8358747074435526,0,0.1,0,300,300,5000
0.8358747074435526,1000,0.1,0,300,300,0
0.8358747074435526,1000,0.1,0,300,300,100
0.8358747074435526,1000,0.1,0,300,300,1000
0.8358747074435526,1000,0.1,0,300,300,5000
0.8358747074435526,100000,0.1,0,300,300,0
0.8358747074435526,100000,0.1,0,300,300,100
0.8358747074435526,100000,0.1,0,300,300,1000
0.8358747074435526,100000,0.1,0,300,300,5000
0.8358747074435526,250000,0.1,0,300,300,0
0.8358747074435526,250000,0.1,0,300,300,100
0.8358747074435526,250000,0.1,0,300,300,1000
0.8358747074435526,250000,0.1,0,300,300,5000
0.8358747074435526,500000,0.1,0,300,300,0
0.8358747074435526,500000,0.1,0,300,300,100
0.8358747074435526,500000,0.1,0,300,300,1000
0.8358747074435526,500000,0.1,0,300,300,5000
0.8358747074435526,1000000,0.1,0,300,300,0
0.8358747074435526,1000000,0.1,0,300,300,100
0.8358747074435526,1000000,0.1,0,300,300,1000
0.8358747074435526,1000000,0.1,0,300,300,5000
0.8358747074435526,0,0.1,1000,300,300,0
0.8358747074435526,0,0.1,1000,300,300,100
0.8358747074435526,0,0.1,1000,300,300,1000
0.8358747074435526,0,0.1,1000,300,300,5000
0.8358747074435526,1000,0.1,1000,300,300,0
0.8358747074435526,1000,0.1,1000,300,300,100
0.8358747074435526,1000,0.1,1000,300,300,1000
0.8358747074435526,1000,0.1,1000,300,300,5000
0.8358747074435526,100000,0.1,1000,300,300,0
0.8358747074435526,100000,0.1,1000,300,300,100
0.8358747074435526,100000,0.1,1000,300,300,1000
0.8358747074435526,100000,0.1,1000,300,300,5000
0.8358747074435526,250000,0.1,1000,300,300,0
0.8358747074435526,250000,0.1,1000,300,300,100
0.8358747074435526,250000,0.1,1000,300,300,1000
0.8358747074435526,250000,0.1,1000,300,300,5000
0.8358747074435526,500000,0.1,1000,300,300,0
0.8358747074435526,500000,0.1,1000,300,300,100
0.8358747074435526,500000,0.1,1000,300,300,1000
0.8358747074435526,500000,0.1,1000,300,300,5000
0.8358747074435526,1000000,0.1,1000,300,300,0
0.8358747074435526,1000000,0.1,1000,300,300,100
0.8358747074435526,1000000,0.1,1000,300,300,1000
0.8358747074435526,1000000,0.1,1000,300,300,5000
0.8358747074435526,0,0.1,100000,300,300,0
0.8358747074435526,0,0.1,100000,300,300,100
0.8358747074435526,0,0.1,100000,300,300,1000
0.8358747074435526,0,0.1,100000,300,300,5000
0.8358747074435526,1000,0.1,100000,300,300,0
0.8358747074435526,1000,0.1,100000,300,300,100
0.8358747074435526,1000,0.1,100000,300,300,1000
0.8358747074435526,1000,0.1,100000,300,300,5000
0.8358747074435526,100000,0.1,100000,300,300,0
0.8358747074435526,100000,0.1,100000,300,300,100
0.8358747074435526,100000,0.1,100000,300,300,1000
0.8358747074435526,100000,0.1,100000,300,300,5000
0.8358747074435526,250000,0.1,100000,300,300,0
0.8358747074435526,250000,0.1,100000,300,300,100
0.8358747074435526,250000,0.1,100000,300,300,1000
0.8358747074435526,250000,0.1,100000,300,300,5000
0.8358747074435526,500000,0.1,100000,300,300,0
0.8358747074435526,500000,0.1,100000,300,300,100
0.8358747074435526,500000,0.1,100000,300,300,1000
0.8358747074435526,500000,0.1,100000,300,300,5000
0.8358747074435526,1000000,0.1,100000,300,300,0
0.8358747074435526,1000000,0.1,100000,300,300,100
0.8358747074435526,1000000,0.1,100000,300,300,1000
0.8358747074435526,1000000,0.1,100000,300,300,5000
0.8358747074435526,0,0.1,250000,300,300,0
0.8358747074435526,0,0.1,250000,300,300,100
0.8358747074435526,0,0.1,250000,300,300,1000
0.8358747074435526,0,0.1,250000,300,300,5000
0.8358747074435526,1000,0.1,250000,300,300,0
0.8358747074435526,1000,0.1,250000,300,300,100
0.8358747074435526,1000,0.1,250000,300,300,1000
0.8358747074435526,1000,0.1,250000,300,300,5000
0.8358747074435526,100000,0.1,250000,300,300,0
0.8358747074435526,100000,0.1,250000,300,300,100
0.8358747074435526,100000,0.1,250000,300,300,1000
0.8358747074435526,100000,0.1,250000,300,300,5000
0.8358747074435526,250000,0.1,250000,300,300,0
0.8358747074435526,250000,0.1,250000,300,300,100
0.8358747074435526,250000,0.1,250000,300,300,1000
0.8358747074435526,250000,0.1,250000,300,300,5000
0.8358747074435526,500000,0.1,250000,300,300,0
0.8358747074435526,500000,0.1,250000,300,300,100
0.8358747074435526,500000,0.1,250000,300,300,1000
0.8358747074435526,500000,0.1,250000,300,300,5000
0.8358747074435526,1000000,0.1,250000,300,300,0
0.8358747074435526,1000000,0.1,250000,300,300,100
0.8358747074435526,1000000,0.1,250000,300,300,1000
0.8358747074435526,1000000,0.1,250000,300,300,5000
0.8358747074435526,0,0.1,500000,300,300,0
0.8358747074435526,0,0.1,500000,300,300,100
0.8358747074435526,0,0.1,500000,300,300,1000
0.8358747074435526,0,0.1,500000,300,300,5000
0.8358747074435526,1000,0.1,500000,300,300,0
0.8358747074435526,1000,0.1,500000,300,300,100
0.8358747074435526,1000,0.1,500000,300,300,1000
0.8358747074435526,1000,0.1,500000,300,300,5000
0.8358747074435526,100000,0.1,500000,300,300,0
0.8358747074435526,100000,0.1,500000,300,300,100
0.8358747074435526,100000,0.1,500000,300,300,1000
0.8358747074435526,100000,0.1,500000,300,300,5000
0.8358747074435526,250000,0.1,500000,300,300,0
0.8358747074435526,250000,0.1,500000,300,300,100
0.8358747074435526,250000,0.1,500000,300,300,1000
0.8358747074435526,250000,0.1,500000,300,300,5000
0.8358747074435526,500000,0.1,500000,300,300,0
0.8358747074435526,500000,0.1,500000,300,300,100
0.8358747074435526,500000,0.1,500000,300,300,1000
0.8358747074435526,500000,0.1,500000,300,300,5000
0.8358747074435526,1000000,0.1,500000,300,300,0
0.8358747074435526,1000000,0.1,500000,300,300,100
0.8358747074435526,1000000,0.1,500000,300,300,1000
0.8358747074435526,1000000,0.1,500000,300,300,5000
0.8358747074435526,0,0.1,1000000,300,300,0
0.8358747074435526,0,0.1,1000000,300,300,100
0.8358747074435526,0,0.1,1000000,300,300,1000
0.8358747074435526,0,0.1,1000000,300,300,5000
0.8358747074435526,1000,0.1,1000000,300,300,0
0.8358747074435526,1000,0.1,1000000,300,300,100
0.8358747074435526,1000,0.1,1000000,300,300,1000
0.8358747074435526,1000,0.1,1000000,300,300,5000
0.8358747074435526,100000,0.1,1000000,300,300,0
0.8358747074435526,100000,0.1,1000000,300,300,100
0.8358747074435526,100000,0.1,1000000,300,300,1000
0.8358747074435526,100000,0.1,1000000,300,300,5000
0.8358747074435526,250000,0.1,1000000,300,300,0
0.8358747074435526,250000,0.1,1000000,300,300,100
0.8358747074435526,250000,0.1,1000000,300,300,1000
0.8358747074435526,250000,0.1,1000000,300,300,5000
0.8358747074435526,500000,0.1,1000000,300,300,0
0.8358747074435526,500000,0.1,1000000,300,300,100
0.8358747074435526,500000,0.1,1000000,300,300,1000
0.8358747074435526,500000,0.1,1000000,300,300,5000
0.8358747074435526,1000000,0.1,1000000,300,300,0
0.8358747074435526,1000000,0.1,1000000,300,300,100
0.8358747074435526,1000000,0.1,1000000,300,300,1000
0.8358747074435526,1000000,0.1,1000000,300,300,5000
0.7970908235312565,0,0.3,0,300,300,0
0.7970908235312565,0,0.3,0,300,300,100
0.7970908235312565,0,0.3,0,300,300,1000
0.7970908235312565,0,0.3,0,300,300,5000
0.7970908235312565,1000,0.3,0,300,300,0
0.7970908235312565,1000,0.3,0,300,300,100
0.7970908235312565,1000,0.3,0,300,300,1000
0.7970908235312565,1000,0.3,0,300,300,5000
0.7970908235312565,100000,0.3,0,300,300,0
0.7970908235312565,100000,0.3,0,300,300,100
0.7970908235312565,100000,0.3,0,300,300,1000
0.7970908235312565,100000,0.3,0,300,300,5000
0.7970908235312565,250000,0.3,0,300,300,0
0.7970908235312565,250000,0.3,0,300,300,100
0.7970908235312565,250000,0.3,0,300,300,1000
0.7970908235312565,250000,0.3,0,300,300,5000
0.7970908235312565,500000,0.3,0,300,300,0
0.7970908235312565,500000,0.3,0,300,300,100
0.7970908235312565,500000,0.3,0,300,300,1000
0.7970908235312565,500000,0.3,0,300,300,5000
0.7970908235312565,1000000,0.3,0,300,300,0
0.7970908235312565,1000000,0.3,0,300,300,100
0.7970908235312565,1000000,0.3,0,300,300,1000
0.7970908235312565,1000000,0.3,0,300,300,5000
0.7970908235312565,0,0.3,1000,300,300,0
0.7970908235312565,0,0.3,1000,300,300,100
0.7970908235312565,0,0.3,1000,300,300,1000
0.7970908235312565,0,0.3,1000,300,300,5000
0.7970908235312565,1000,0.3,1000,300,300,0
0.7970908235312565,1000,0.3,1000,300,300,100
0.7970908235312565,1000,0.3,1000,300,300,1000
0.7970908235312565,1000,0.3,1000,300,300,5000
0.7970908235312565,100000,0.3,1000,300,300,0
0.7970908235312565,100000,0.3,1000,300,300,100
0.7970908235312565,100000,0.3,1000,300,300,1000
0.7970908235312565,100000,0.3,1000,300,300,5000
0.7970908235312565,250000,0.3,1000,300,300,0
