coszen,rho,rds,dust,algae,BBA
0.3,400,500,1000000,1000000,0.5454715367
0.3,400,500,1000000,15000000,0.3328891711
0.3,400,500,1000000,20000000,0.3197943772
0.3,400,500,15000000,0,0.5192224157
0.3,400,500,15000000,10000,0.5179242783
0.3,400,500,15000000,50000,0.5128907928
0.3,400,500,15000000,100000,0.5069304792
0.3,400,500,15000000,1000000,0.436544281
0.3,400,500,15000000,15000000,0.2831691989
0.3,400,500,15000000,20000000,0.2721276906
0.3,400,500,20000000,0,0.4816355398
0.3,400,500,20000000,10000,0.4805661177
0.3,400,500,20000000,50000,0.4764061303
0.3,400,500,20000000,100000,0.4714538494
0.3,400,500,20000000,1000000,0.4112615634
0.3,400,500,20000000,15000000,0.2720215306
0.3,400,500,20000000,20000000,0.2614997262
0.3,400,700,0,0,0.6689773979
0.3,400,700,0,10000,0.6662023391
0.3,400,700,0,50000,0.6556302307
0.3,400,700,0,100000,0.643470093
0.3,400,700,0,1000000,0.5191686246
0.3,400,700,0,15000000,0.310891289
0.3,400,700,0,20000000,0.2990619352
0.3,400,700,10000,0,0.6687971229
0.3,400,700,10000,10000,0.6660237978
0.3,400,700,10000,50000,0.6554581031
0.3,400,700,10000,100000,0.6433049885
0.3,400,700,10000,1000000,0.5190598048
0.3,400,700,10000,15000000,0.310842445
0.3,400,700,10000,20000000,0.2990149605
0.3,400,700,50000,0,0.668077162
0.3,400,700,50000,10000,0.6653107542
0.3,400,700,50000,50000,0.6547706535
0.3,400,700,50000,100000,0.6426455684
0.3,400,700,50000,1000000,0.5186251281
0.3,400,700,50000,15000000,0.3106473649
0.3,400,700,50000,20000000,0.2988273488
0.3,400,700,100000,0,0.6671797651
0.3,400,700,100000,10000,0.6644219659
0.3,400,700,100000,50000,0.6539137213
0.3,400,700,100000,100000,0.6418235316
0.3,400,700,100000,1000000,0.5180831343
0.3,400,700,100000,15000000,0.3104041784
0.3,400,700,100000,20000000,0.2985934782
0.3,400,700,1000000,0,0.6514975378
0.3,400,700,1000000,10000,0.6488877809
0.3,400,700,1000000,50000,0.6389281282
0.3,400,700,1000000,100000,0.627440239
0.3,400,700,1000000,1000000,0.508577717
0.3,400,700,1000000,15000000,0.3061495209
0.3,400,700,1000000,20000000,0.294502837
0.3,400,700,15000000,0,0.4868853258
0.3,400,700,15000000,10000,0.485583761
0.3,400,700,15000000,50000,0.4805408024
0.3,400,700,15000000,100000,0.4745779043
0.3,400,700,15000000,1000000,0.4050923561
0.3,400,700,15000000,15000000,0.2612908879
0.3,400,700,15000000,20000000,0.2515175133
0.3,400,700,20000000,0,0.4509254256
0.3,400,700,20000000,10000,0.4498579499
0.3,400,700,20000000,50000,0.4457092509
0.3,400,700,20000000,100000,0.4407784576
0.3,400,700,20000000,1000000,0.3816548235
0.3,400,700,20000000,15000000,0.2516410167
0.3,400,700,20000000,20000000,0.2423193058
0.3,400,1000,0,0,0.6243711022
0.3,400,1000,0,10000,0.6216711886
0.3,400,1000,0,50000,0.6113893511
0.3,400,1000,0,100000,0.5995745613
0.3,400,1000,0,1000000,0.4796503968
0.3,400,1000,0,15000000,0.2831828023
0.3,400,1000,0,20000000,0.2726374982
0.3,400,1000,10000,0,0.6242021165
0.3,400,1000,10000,10000,0.6215038749
0.3,400,1000,10000,50000,0.6112282143
0.3,400,1000,10000,100000,0.5994201657
0.3,400,1000,10000,1000000,0.4795492044
0.3,400,1000,10000,15000000,0.2831401564
0.3,400,1000,10000,20000000,0.2725966921
0.3,400,1000,50000,0,0.6235272473
0.3,400,1000,50000,10000,0.6208356764
0.3,400,1000,50000,50000,0.6105846634
0.3,400,1000,50000,100000,0.5988035182
0.3,400,1000,50000,1000000,0.4791450125
0.3,400,1000,50000,15000000,0.2829698542
0.3,400,1000,50000,20000000,0.2724337384
0.3,400,1000,100000,0,0.6226860673
0.3,400,1000,100000,10000,0.6200027974
0.3,400,1000,100000,50000,0.6097824597
0.3,400,1000,100000,100000,0.5980348061
0.3,400,1000,100000,1000000,0.4786410681
0.3,400,1000,100000,15000000,0.2827576065
0.3,400,1000,100000,20000000,0.2722306533
0.3,400,1000,1000000,0,0.607987681
0.3,400,1000,1000000,10000,0.6054470257
0.3,400,1000,1000000,50000,0.5957545457
0.3,400,1000,1000000,100000,0.5845847575
0.3,400,1000,1000000,1000000,0.4698095702
0.3,400,1000,1000000,15000000,0.2790530005
0.3,400,1000,1000000,20000000,0.2686866824
0.3,400,1000,15000000,0,0.4538554366
0.3,400,1000,15000000,10000,0.4525825845
0.3,400,1000,15000000,50000,0.4476543417
0.3,400,1000,15000000,100000,0.4418345863
0.3,400,1000,15000000,1000000,0.3746861078
0.3,400,1000,15000000,15000000,0.2410066595
0.3,400,1000,15000000,20000000,0.2323775732
0.3,400,1000,20000000,0,0.4205117551
0.3,400,1000,20000000,10000,0.4194698623
0.3,400,1000,20000000,50000,0.4154237233
0.3,400,1000,20000000,100000,0.4106214887
0.3,400,1000,20000000,1000000,0.3536408851
0.3,400,1000,20000000,15000000,0.2332006425
0.3,400,1000,20000000,20000000,0.224959001
0.3,400,1500,0,0,0.5696186643
0.3,400,1500,0,10000,0.5671271379
0.3,400,1500,0,50000,0.5576617636
0.3,400,1500,0,100000,0.5468230896
0.3,400,1500,0,1000000,0.4363880539
0.3,400,1500,0,15000000,0.253064293
0.3,400,1500,0,20000000,0.2436747854
0.3,400,1500,10000,0,0.5694713292
0.3,400,1500,10000,10000,0.5669812594
0.3,400,1500,10000,50000,0.5575211864
0.3,400,1500,10000,100000,0.5466881566
0.3,400,1500,10000,1000000,0.4362968506
0.3,400,1500,10000,15000000,0.2530299676
0.3,400,1500,10000,20000000,0.2436424001
0.3,400,1500,50000,0,0.5688828415
0.3,400,1500,50000,10000,0.566398584
0.3,400,1500,50000,50000,0.5569596685
0.3,400,1500,50000,100000,0.5461491702
0.3,400,1500,50000,1000000,0.4359325916
0.3,400,1500,50000,15000000,0.2528929455
0.3,400,1500,50000,20000000,0.2435131252
0.3,400,1500,100000,0,0.5681491453
0.3,400,1500,100000,10000,0.5656721215
0.3,400,1500,100000,50000,0.5562595448
0.3,400,1500,100000,100000,0.5454771107
0.3,400,1500,100000,1000000,0.4354785106
0.3,400,1500,100000,15000000,0.2527222932
0.3,400,1500,100000,20000000,0.2433521262
0.3,400,1500,1000000,0,0.5552961109
0.3,400,1500,1000000,10000,0.5529435574
0.3,400,1500,1000000,50000,0.5439855347
0.3,400,1500,1000000,100000,0.5336899912
0.3,400,1500,1000000,1000000,0.4275332843
0.3,400,1500,1000000,15000000,0.2497629618
0.3,400,1500,1000000,20000000,0.2405608833
0.3,400,1500,15000000,0,0.4182175958
0.3,400,1500,15000000,10000,0.4170081194
0.3,400,1500,15000000,50000,0.4123280762
0.3,400,1500,15000000,100000,0.4068071631
0.3,400,1500,15000000,1000000,0.3434835141
0.3,400,1500,15000000,15000000,0.2208911952
0.3,400,1500,15000000,20000000,0.2133458665
0.3,400,1500,20000000,0,0.3886373309
0.3,400,1500,20000000,10000,0.3876460432
0.3,400,1500,20000000,50000,0.3837989758
0.3,400,1500,20000000,100000,0.3792382888
0.3,400,1500,20000000,1000000,0.3255339777
0.3,400,1500,20000000,15000000,0.2154361872
0.3,400,1500,20000000,20000000,0.2082122752
0.3,500,200,0,0,0.810989397
0.3,500,200,0,10000,0.8109893969
0.3,500,200,0,50000,0.8109893967
0.3,500,200,0,100000,0.8109893964
0.3,500,200,0,1000000,0.8109893905
0.3,500,200,0,15000000,0.8109892997
0.3,500,200,0,20000000,0.8109892672
0.3,500,200,10000,0,0.810989397
0.3,500,200,10000,10000,0.8109893969
0.3,500,200,10000,50000,0.8109893967
0.3,500,200,10000,100000,0.8109893963
0.3,500,200,10000,1000000,0.8109893905
0.3,500,200,10000,15000000,0.8109892996
0.3,500,200,10000,20000000,0.8109892672
0.3,500,200,50000,0,0.810989397
0.3,500,200,50000,10000,0.8109893969
0.3,500,200,50000,50000,0.8109893967
0.3,500,200,50000,100000,0.8109893963
0.3,500,200,50000,1000000,0.8109893905
0.3,500,200,50000,15000000,0.8109892996
0.3,500,200,50000,20000000,0.8109892672
0.3,500,200,100000,0,0.810989397
0.3,500,200,100000,10000,0.8109893969
0.3,500,200,100000,50000,0.8109893967
0.3,500,200,100000,100000,0.8109893963
0.3,500,200,100000,1000000,0.8109893905
0.3,500,200,100000,15000000,0.8109892996
0.3,500,200,100000,20000000,0.8109892672
0.3,500,200,1000000,0,0.8109893968
0.3,500,200,1000000,10000,0.8109893968
0.3,500,200,1000000,50000,0.8109893965
0.3,500,200,1000000,100000,0.8109893962
0.3,500,200,1000000,1000000,0.8109893903
0.3,500,200,1000000,15000000,0.8109892995
0.3,500,200,1000000,20000000,0.810989267
0.3,500,200,15000000,0,0.8109893942
0.3,500,200,15000000,10000,0.8109893942
0.3,500,200,15000000,50000,0.8109893939
0.3,500,200,15000000,100000,0.8109893936
0.3,500,200,15000000,1000000,0.8109893878
0.3,500,200,15000000,15000000,0.8109892969
0.3,500,200,15000000,20000000,0.8109892645
0.3,500,200,20000000,0,0.8109893933
0.3,500,200,20000000,10000,0.8109893933
0.3,500,200,20000000,50000,0.810989393
0.3,500,200,20000000,100000,0.8109893927
0.3,500,200,20000000,1000000,0.8109893868
0.3,500,200,20000000,15000000,0.810989296
0.3,500,200,20000000,20000000,0.8109892635
0.3,500,300,0,0,0.7931022056
0.3,500,300,0,10000,0.7931022056
0.3,500,300,0,50000,0.7931022055
0.3,500,300,0,100000,0.7931022055
0.3,500,300,0,1000000,0.793102204
0.3,500,300,0,15000000,0.7931021821
0.3,500,300,0,20000000,0.7931021742
0.3,500,300,10000,0,0.7931022056
0.3,500,300,10000,10000,0.7931022056
0.3,500,300,10000,50000,0.7931022055
0.3,500,300,10000,100000,0.7931022055
0.3,500,300,10000,1000000,0.793102204
0.3,500,300,10000,15000000,0.7931021821
0.3,500,300,10000,20000000,0.7931021742
